figure,figure_group,domain,metric,condition,condition_label,n,mean,se,sd,median,min,max
waste_operation_time.png,waste_operation_time,Waste,조작시간 (s),C5,KnowNo,12,27.0833,4.45764,15.4417,23.5,13,66
waste_operation_time.png,waste_operation_time,Waste,조작시간 (s),C3,Ours1,12,9.83333,1.33049,4.60895,9.5,3,18
waste_operation_time.png,waste_operation_time,Waste,조작시간 (s),C4,Ours2,12,9.83333,1.02124,3.53768,9.5,5,18
waste_sagat1.png,waste_sagat1,Waste,SAGAT1,C1,All,12,0.916667,0.0561833,0.194625,1,0.5,1
waste_sagat1.png,waste_sagat1,Waste,SAGAT1,C2,No,12,0.958333,0.0416667,0.144338,1,0.5,1
waste_sagat1.png,waste_sagat1,Waste,SAGAT1,C5,KnowNo,12,0.75,0.0753778,0.261116,0.75,0.5,1
waste_sagat1.png,waste_sagat1,Waste,SAGAT1,C3,Ours1,12,0.791667,0.096498,0.334279,1,0,1
waste_sagat1.png,waste_sagat1,Waste,SAGAT1,C4,Ours2,12,0.875,0.0652791,0.226134,1,0.5,1
waste_sagat2.png,waste_sagat2,Waste,SAGAT2,C1,All,12,0.375,0.125,0.433013,0.25,0,1
waste_sagat2.png,waste_sagat2,Waste,SAGAT2,C2,No,12,0.25,0.115142,0.398862,0,0,1
waste_sagat2.png,waste_sagat2,Waste,SAGAT2,C5,KnowNo,12,0.458333,0.129952,0.450168,0.5,0,1
waste_sagat2.png,waste_sagat2,Waste,SAGAT2,C3,Ours1,12,0.625,0.0652791,0.226134,0.5,0.5,1
waste_sagat2.png,waste_sagat2,Waste,SAGAT2,C4,Ours2,12,0.0833333,0.0561833,0.194625,0,0,0.5
waste_sagat3.png,waste_sagat3,Waste,SAGAT3,C1,All,12,0.375,0.0652791,0.226134,0.5,0,0.5
waste_sagat3.png,waste_sagat3,Waste,SAGAT3,C2,No,12,0.791667,0.096498,0.334279,1,0,1
waste_sagat3.png,waste_sagat3,Waste,SAGAT3,C5,KnowNo,12,0.583333,0.1205,0.417424,0.5,0,1
waste_sagat3.png,waste_sagat3,Waste,SAGAT3,C3,Ours1,12,0.75,0.0753778,0.261116,0.75,0.5,1
waste_sagat3.png,waste_sagat3,Waste,SAGAT3,C4,Ours2,12,0.625,0.0897176,0.310791,0.5,0,1
waste_sart.png,waste_sart,Waste,SART,C1,All,12,3.10833,0.211581,0.732937,3.3,1.6,4.2
waste_sart.png,waste_sart,Waste,SART,C2,No,12,3.39167,0.186051,0.644499,3.35,2.2,4.4
waste_sart.png,waste_sart,Waste,SART,C5,KnowNo,12,3.35,0.234359,0.811844,3.4,1.8,4.3
waste_sart.png,waste_sart,Waste,SART,C3,Ours1,12,3.40833,0.177721,0.615642,3.6,2,4.1
waste_sart.png,waste_sart,Waste,SART,C4,Ours2,12,3.21667,0.185796,0.643617,3.4,1.8,3.9
waste_task_success.png,waste_task_success,Waste,조작성공률 (%),C1,All,12,91.6667,8.33333,28.8675,100,0,100
waste_task_success.png,waste_task_success,Waste,조작성공률 (%),C5,KnowNo,12,8.33333,8.33333,28.8675,0,0,100
waste_task_success.png,waste_task_success,Waste,조작성공률 (%),C3,Ours1,12,91.6667,8.33333,28.8675,100,0,100
waste_task_success.png,waste_task_success,Waste,조작성공률 (%),C4,Ours2,12,100,0,0,100,100,100
