run,logs/wastesorting/scene_01_step50/thres_0-3,logs/wastesorting/scene_02_step50/thres_0-3,logs/wastesorting/scene_03_step50/thres_0-3,logs/wastesorting/scene_04_step50/thres_0-3,logs/wastesorting/scene_05_step50/thres_0-3
1,0,0,5,0,0
2,4,4,1,0,1
3,1,0,1,0,0
4,0,0,0,0,0
5,0,0,0,1,1
6,0,0,0,0,0
7,0,0,4,0,1
8,0,1,0,4,0
9,0,4,1,0,0
10,1,0,1,0,0
11,0,0,0,0,0
12,0,1,0,1,1
13,1,0,1,1,1
14,0,0,0,0,0
15,0,0,1,5,1
16,1,0,2,1,0
17,1,1,4,0,0
18,0,1,4,0,0
19,4,0,0,0,1
20,1,5,0,2,0
21,1,0,0,0,1
22,1,0,0,0,2
23,0,4,1,2,0
24,1,0,0,1,1
25,0,0,5,0,0
26,0,0,0,0,1
27,0,0,0,0,3
28,1,0,0,0,0
29,0,4,1,0,0
30,0,0,2,1,1
31,0,2,2,0,0
32,0,1,0,1,4
33,0,0,0,0,0
34,0,4,0,4,1
35,0,0,1,0,4
36,0,0,0,0,0
37,0,1,1,1,2
38,0,0,5,0,0
39,2,1,0,0,1
40,0,0,4,4,1
95% confidence interval,0.2023~0.7977,0.3869~1.3131,0.6646~1.6854,0.3159~1.1341,0.4035~1.0465
average question,0.5000,0.8500,1.1750,0.7250,0.7250
