run,logs/wastesorting/scene_01_step50/thres_0-3,logs/wastesorting/scene_02_step50/thres_0-3,logs/wastesorting/scene_03_step50/thres_0-3,logs/wastesorting/scene_04_step50/thres_0-3,logs/wastesorting/scene_05_step50/thres_0-3
1,1,1,1,0,1
2,1,1,0,0,1
3,1,1,0,0,0
4,1,1,0,0,0
5,1,1,1,1,0
6,0,0,0,1,1
7,0,1,0,0,0
8,1,1,1,0,1
9,0,1,1,0,0
10,1,0,0,0,1
11,0,0,1,1,0
12,0,0,1,0,1
13,1,0,1,0,1
14,1,0,1,1,1
15,1,1,1,1,1
16,0,0,1,0,0
17,1,1,1,0,0
18,0,1,1,0,1
19,0,0,1,1,1
20,0,1,0,1,0
21,0,0,0,1,1
22,0,1,0,1,0
23,0,1,0,0,0
24,0,1,0,1,1
25,0,1,1,0,0
26,1,0,0,0,1
27,0,0,1,1,1
28,0,1,0,1,1
29,0,1,0,0,0
30,1,0,1,0,1
31,1,1,1,1,0
32,0,0,0,1,1
33,0,0,0,0,1
34,1,0,0,1,0
35,0,1,1,0,1
36,0,1,0,0,0
37,1,1,0,1,1
38,1,0,1,1,0
39,1,0,1,1,0
40,0,1,1,1,1
95% confidence interval,0.2939~0.6061,0.4198~0.7302,0.3683~0.6817,0.3183~0.6317,0.3939~0.7061
success rate,0.4500,0.5750,0.5250,0.4750,0.5500
