run,logs/wastesorting/scene_01_step50/thres_0-3,logs/wastesorting/scene_02_step50/thres_0-3,logs/wastesorting/scene_03_step50/thres_0-3,logs/wastesorting/scene_04_step50/thres_0-3,logs/wastesorting/scene_05_step50/thres_0-3
1,10,9,13,50,10
2,10,9,50,50,10
3,10,10,50,50,50
4,9,11,50,50,50
5,14,10,11,10,50
6,50,50,50,11,9
7,50,9,50,50,50
8,13,13,9,50,11
9,50,12,11,10,50
10,13,50,50,50,9
11,7,50,11,10,50
12,50,50,11,50,9
13,10,5,13,50,9
14,9,50,10,11,15
15,10,11,10,15,10
16,50,50,15,50,50
17,13,11,9,3,3
18,50,15,10,50,9
19,50,50,11,12,10
20,50,10,50,10,50
21,50,50,50,11,13
22,50,10,50,9,50
23,50,14,50,50,50
24,50,12,50,9,10
25,50,9,13,50,50
26,11,50,50,8,11
27,50,50,12,14,11
28,50,12,50,13,9
29,50,9,50,50,50
30,14,50,14,50,14
31,10,16,12,9,3
32,50,50,50,9,9
33,50,50,50,50,13
34,10,50,50,10,50
35,50,9,20,50,9
36,50,11,50,50,50
37,11,10,50,10,11
38,14,50,10,9,50
39,11,50,12,10,50
40,50,9,11,10,11
95% confidence interval,25.3485~37.6015,20.3272~32.4728,23.9400~35.9600,21.8281~34.3219,19.7531~32.1469
average step,31.4750,26.4000,29.9500,28.0750,25.9500
