run_index,domain,scene,threshold,seed,log_dir
1,tomato,02,0.8,4111438082,temp_test/tomato/scene_02_step50/thres_0-8
1,tomato,02,0.8,1870923348,temp_test/tomato/scene_02_step50/thres_0-8
