domain,condition,order,metric,metric_label,n_attempted,n_valid,n_execution_errors,n_missing_metric,success_only,numerator,value,sd,lower,upper,error_minus,error_plus,error_type,source_csv
wastesorting,ours,0,success,Task success (%),200,200,0,0,0,200.0,100.0,0.0,98.11546736227335,100,1.8845326377266503,0,95% Wilson CI,01_processed/episodes.csv
wastesorting,ours,0,questions,Questions per episode,200,200,0,0,0,1566.0,7.83,2.16205281198426,7.677119779536248,7.982880220463752,0.15288022046375183,0.15288022046375183,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours,0,steps,Physical/planning steps,200,200,0,0,0,2069.0,10.345,0.8773962164284816,10.2829587185576,10.407041281442401,0.06204128144240073,0.06204128144240073,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours,0,seconds,Logged episode time (s),200,200,0,0,0,196.46070000000006,0.9823035,0.0869479977302323,0.976155348119436,0.9884516518805639,0.006148151880563946,0.006148151880563946,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours,0,questions_success_only,Questions (successful episodes),200,200,0,0,1,1566.0,7.83,2.16205281198426,7.677119779536248,7.982880220463752,0.15288022046375183,0.15288022046375183,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours,0,steps_success_only,Steps (successful episodes),200,200,0,0,1,2069.0,10.345,0.8773962164284816,10.2829587185576,10.407041281442401,0.06204128144240073,0.06204128144240073,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,ours,0,reward,Cumulative reward,200,200,0,0,0,4835.0,24.175,7.810209463215214,23.622734792607318,24.727265207392684,0.5522652073926828,0.5522652073926828,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,cp_when,1,success,Task success (%),200,200,0,0,0,165.0,82.5,0.3809205986981576,76.63556885175099,87.13948493372666,5.864431148249011,4.6394849337266635,95% Wilson CI,01_processed/episodes.csv
wastesorting,cp_when,1,questions,Questions per episode,200,200,0,0,0,1490.0,7.45,3.275844284897326,7.218362829203791,7.6816371707962094,0.23163717079620927,0.23163717079620927,mean +/- 1 SE,01_processed/episodes.csv
wastesorting,cp_when,1,steps,Physical/planning steps,200,200,0,0,0,1978.0,9.89,1.8425184861648733,9.759714268397126,10.020285731602876,0.13028573160287493,0.13028573160287493,mean +/- 1 SE,01_processed/episodes.csv
