global_index,domain,scene,threshold,seed_mode,max_step,max_belief_particles
159,wastesorting,9,0.8,random,90,800
160,wastesorting,9,0.8,random,90,800
161,wastesorting,10,0.8,random,90,800
162,wastesorting,10,0.8,random,90,800
163,wastesorting,10,0.8,random,90,800
164,wastesorting,10,0.8,random,90,800
165,wastesorting,10,0.8,random,90,800
166,wastesorting,10,0.8,random,90,800
167,wastesorting,10,0.8,random,90,800
168,wastesorting,10,0.8,random,90,800
169,wastesorting,10,0.8,random,90,800
170,wastesorting,10,0.8,random,90,800
171,wastesorting,10,0.8,random,90,800
172,wastesorting,10,0.8,random,90,800
173,wastesorting,10,0.8,random,90,800
174,wastesorting,10,0.8,random,90,800
175,wastesorting,10,0.8,random,90,800
176,wastesorting,10,0.8,random,90,800
177,wastesorting,10,0.8,random,90,800
178,wastesorting,10,0.8,random,90,800
179,wastesorting,10,0.8,random,90,800
180,wastesorting,10,0.8,random,90,800
181,wastesorting,10,0.8,random,90,800
182,wastesorting,10,0.8,random,90,800
183,wastesorting,10,0.8,random,90,800
184,wastesorting,10,0.8,random,90,800
185,wastesorting,10,0.8,random,90,800
186,wastesorting,10,0.8,random,90,800
187,wastesorting,10,0.8,random,90,800
188,wastesorting,10,0.8,random,90,800
189,wastesorting,10,0.8,random,90,800
190,wastesorting,10,0.8,random,90,800
191,wastesorting,10,0.8,random,90,800
192,wastesorting,10,0.8,random,90,800
193,wastesorting,10,0.8,random,90,800
194,wastesorting,10,0.8,random,90,800
195,wastesorting,10,0.8,random,90,800
196,wastesorting,10,0.8,random,90,800
197,wastesorting,10,0.8,random,90,800
198,wastesorting,10,0.8,random,90,800
199,wastesorting,10,0.8,random,90,800
200,wastesorting,10,0.8,random,90,800
201,wastesorting,11,0.8,random,125,8000
202,wastesorting,11,0.8,random,125,8000
