global_index,domain,scene,threshold,seed_mode,max_step,max_belief_particles
1,wastesorting,1,0.8,random,50,800
2,wastesorting,1,0.8,random,50,800
3,wastesorting,1,0.8,random,50,800
4,wastesorting,1,0.8,random,50,800
5,wastesorting,1,0.8,random,50,800
6,wastesorting,1,0.8,random,50,800
7,wastesorting,1,0.8,random,50,800
8,wastesorting,1,0.8,random,50,800
9,wastesorting,1,0.8,random,50,800
10,wastesorting,1,0.8,random,50,800
11,wastesorting,1,0.8,random,50,800
12,wastesorting,1,0.8,random,50,800
13,wastesorting,1,0.8,random,50,800
14,wastesorting,1,0.8,random,50,800
15,wastesorting,1,0.8,random,50,800
16,wastesorting,1,0.8,random,50,800
17,wastesorting,1,0.8,random,50,800
18,wastesorting,1,0.8,random,50,800
19,wastesorting,1,0.8,random,50,800
20,wastesorting,1,0.8,random,50,800
21,wastesorting,1,0.8,random,50,800
22,wastesorting,1,0.8,random,50,800
23,wastesorting,1,0.8,random,50,800
24,wastesorting,1,0.8,random,50,800
25,wastesorting,1,0.8,random,50,800
26,wastesorting,1,0.8,random,50,800
27,wastesorting,1,0.8,random,50,800
28,wastesorting,1,0.8,random,50,800
29,wastesorting,1,0.8,random,50,800
30,wastesorting,1,0.8,random,50,800
31,wastesorting,1,0.8,random,50,800
32,wastesorting,1,0.8,random,50,800
33,wastesorting,1,0.8,random,50,800
34,wastesorting,1,0.8,random,50,800
35,wastesorting,1,0.8,random,50,800
36,wastesorting,1,0.8,random,50,800
37,wastesorting,1,0.8,random,50,800
38,wastesorting,1,0.8,random,50,800
39,wastesorting,1,0.8,random,50,800
40,wastesorting,1,0.8,random,50,800
