domain,policy,scene,run_index,success,planning_length,question_count,query_probability,elapsed_seconds,reward,source_file
wastesorting,all,scene_02,1,True,11.0,15.0,1.3636363636363635,9.2722,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
wastesorting,all,scene_02,2,True,11.0,15.0,1.3636363636363635,9.1363,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
wastesorting,all,scene_02,3,True,11.0,15.0,1.3636363636363635,8.8158,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
wastesorting,all,scene_02,4,True,11.0,15.0,1.3636363636363635,8.838,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
wastesorting,all,scene_02,5,True,11.0,15.0,1.3636363636363635,8.8181,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
wastesorting,all,scene_02,6,True,11.0,15.0,1.3636363636363635,8.998,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
wastesorting,all,scene_02,7,True,11.0,15.0,1.3636363636363635,9.1095,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
wastesorting,all,scene_02,8,True,11.0,15.0,1.3636363636363635,9.1375,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
wastesorting,all,scene_02,9,True,11.0,15.0,1.3636363636363635,8.9834,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
wastesorting,all,scene_02,10,True,11.0,15.0,1.3636363636363635,9.1094,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
wastesorting,all,scene_02,11,True,11.0,15.0,1.3636363636363635,9.0813,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
wastesorting,all,scene_02,12,True,11.0,15.0,1.3636363636363635,8.9664,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
wastesorting,all,scene_02,13,True,11.0,15.0,1.3636363636363635,8.9148,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
wastesorting,all,scene_02,14,True,11.0,15.0,1.3636363636363635,9.1451,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
wastesorting,all,scene_02,15,True,11.0,15.0,1.3636363636363635,9.0725,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
wastesorting,all,scene_02,16,True,11.0,15.0,1.3636363636363635,9.138,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
wastesorting,all,scene_02,17,True,11.0,15.0,1.3636363636363635,9.1574,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
wastesorting,all,scene_02,18,True,11.0,15.0,1.3636363636363635,9.3363,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
wastesorting,all,scene_02,19,True,11.0,15.0,1.3636363636363635,9.1138,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
wastesorting,all,scene_02,20,True,11.0,15.0,1.3636363636363635,9.1367,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
wastesorting,all,scene_02,21,True,11.0,15.0,1.3636363636363635,9.1479,20.0,logs/wastesorting/scene_metrics/step_50_thres_all
