run,logs/wastesorting/scene_01_step50/thres_0-6,logs/wastesorting/scene_02_step50/thres_0-6,logs/wastesorting/scene_03_step50/thres_0-6,logs/wastesorting/scene_04_step50/thres_0-6,logs/wastesorting/scene_05_step50/thres_0-6
1,11,50,8,11,10
2,10,11,9,10,9
3,50,14,6,16,50
4,9,50,6,11,5
5,13,9,10,50,5
6,10,50,10,50,50
7,3,11,10,50,50
8,50,3,5,50,12
9,50,12,9,9,50
10,11,50,50,9,13
11,50,8,12,11,10
12,50,50,10,13,9
13,10,11,10,11,50
14,9,11,9,10,11
15,10,10,50,9,14
16,10,50,50,50,50
17,10,10,10,50,12
18,50,10,50,50,50
19,11,11,50,50,50
20,12,50,11,13,50
21,50,50,12,3,12
22,15,10,11,11,10
23,50,50,50,50,10
24,5,11,13,11,50
25,10,50,5,50,9
26,10,10,9,10,9
27,15,15,16,10,17
28,50,50,9,50,9
29,12,50,11,9,9
30,50,50,50,3,50
31,12,12,50,50,10
32,10,50,14,10,50
33,50,11,50,50,12
34,11,12,50,11,50
35,9,9,9,5,11
36,9,50,50,50,50
37,11,50,18,50,9
38,12,10,11,50,10
39,11,50,10,10,9
40,50,12,10,13,11
95% confidence interval,16.5452~28.0048,21.1843~33.4657,15.4338~26.7162,19.7791~32.1709,18.1966~30.1534
average step,22.2750,27.3250,21.0750,25.9750,24.1750
