run,logs/wastesorting/scene_01_step50/thres_0-6,logs/wastesorting/scene_02_step50/thres_0-6,logs/wastesorting/scene_03_step50/thres_0-6,logs/wastesorting/scene_04_step50/thres_0-6,logs/wastesorting/scene_05_step50/thres_0-6
1,30.0,10.0,5.0,5.0,25.0
2,20.0,15.0,25.0,25.0,25.0
3,15.0,15.0,5.0,25.0,15.0
4,15.0,15.0,10.0,20.0,5.0
5,25.0,20.0,20.0,5.0,0.0
6,15.0,15.0,20.0,5.0,10.0
7,0.0,10.0,25.0,10.0,10.0
8,10.0,0.0,5.0,10.0,20.0
9,15.0,20.0,25.0,20.0,10.0
10,20.0,5.0,15.0,20.0,20.0
11,0.0,10.0,25.0,10.0,20.0
12,10.0,5.0,15.0,20.0,15.0
13,20.0,20.0,15.0,15.0,20.0
14,0.0,10.0,15.0,25.0,25.0
15,25.0,20.0,0.0,25.0,15.0
16,15.0,5.0,5.0,10.0,10.0
17,20.0,15.0,15.0,10.0,20.0
18,5.0,20.0,5.0,5.0,5.0
19,25.0,15.0,5.0,5.0,15.0
20,25.0,0.0,25.0,20.0,15.0
21,10.0,10.0,15.0,0.0,25.0
22,15.0,15.0,20.0,5.0,15.0
23,10.0,10.0,15.0,10.0,25.0
24,10.0,15.0,25.0,20.0,5.0
25,10.0,10.0,5.0,5.0,15.0
26,20.0,10.0,20.0,15.0,10.0
27,25.0,5.0,20.0,15.0,25.0
28,10.0,5.0,15.0,10.0,25.0
29,20.0,5.0,25.0,10.0,20.0
30,10.0,10.0,0.0,0.0,15.0
31,20.0,20.0,10.0,10.0,20.0
32,20.0,5.0,25.0,25.0,5.0
33,10.0,15.0,10.0,10.0,15.0
34,20.0,25.0,20.0,20.0,0.0
35,15.0,10.0,15.0,5.0,15.0
36,10.0,5.0,5.0,0.0,15.0
37,20.0,20.0,25.0,0.0,15.0
38,25.0,20.0,15.0,10.0,10.0
39,20.0,5.0,15.0,20.0,20.0
40,10.0,20.0,20.0,20.0,20.0
95% confidence interval,13.2044~17.7956,10.1435~14.1065,12.5689~17.4311,10.0437~14.9563,13.2009~17.5491
average reward,15.5000,12.1250,15.0000,12.5000,15.3750
