scenario,All,No,Ours1,Ours2,KnowNo
Scenario 1,0.6667,,1.0000,1.0000,0.6667
Scenario 2,0.6667,,0.8000,1.0000,0.7500
Scenario 3,1.0000,,0.8333,1.0000,1.0000
Scenario 4,0.8000,,0.5000,0.8571,0.1667
Scenario 5,0.3333,,1.0000,0.6000,0.0000
