scenario,All,No,Ours1,Ours2,KnowNo
Scenario 1,0.5000,,1.0000,1.0000,1.0000
Scenario 2,0.6667,,0.6667,1.0000,1.0000
Scenario 3,1.0000,,0.6667,1.0000,1.0000
Scenario 4,0.6667,,0.3333,0.7500,1.0000
Scenario 5,0.0000,,1.0000,0.6000,0.0000
