scenario,All,No,Ours1,Ours2,KnowNo
Scenario 1,52/55,,8/8,7/7,16/16
Scenario 2,41/42,,19/21,7/7,12/12
Scenario 3,14/14,,20/21,6/6,9/9
Scenario 4,40/41,,22/24,27/28,4/4
Scenario 5,11/13,,14/14,28/30,2/3
