figure,metric,metric_label,condition,condition_label,domain,domain_label,n,mean,min,max,std,plotted_value
policy_compare_total_average_question,average_question,Average Query Number,all,All,waste,Waste,200,15.865000,6.000000,34.000000,3.965527,15.865000
policy_compare_total_average_question,average_question,Average Query Number,all,All,tomato,Tomato,200,47.280000,10.000000,179.000000,26.547229,47.280000
policy_compare_total_average_question,average_question,Average Query Number,no,No,waste,Waste,200,0.000000,0.000000,0.000000,0.000000,0.000000
policy_compare_total_average_question,average_question,Average Query Number,no,No,tomato,Tomato,200,0.000000,0.000000,0.000000,0.000000,0.000000
policy_compare_total_average_question,average_question,Average Query Number,random,Random,waste,Waste,200,7.925000,0.000000,16.000000,2.659840,7.925000
policy_compare_total_average_question,average_question,Average Query Number,random,Random,tomato,Tomato,200,8.910000,0.000000,46.000000,7.890068,8.910000
policy_compare_total_average_question,average_question,Average Query Number,knowno_gpt4,KnowNo,waste,Waste,200,2.065000,0.000000,6.000000,1.284142,2.065000
policy_compare_total_average_question,average_question,Average Query Number,knowno_gpt4,KnowNo,tomato,Tomato,200,2.125000,0.000000,6.000000,1.367011,2.125000
policy_compare_total_average_question,average_question,Average Query Number,ours,Ours,waste,Waste,200,8.335000,4.000000,21.000000,3.359944,8.335000
policy_compare_total_average_question,average_question,Average Query Number,ours,Ours,tomato,Tomato,200,27.325000,6.000000,83.000000,15.137871,27.325000
policy_compare_total_average_question_success_only,average_question_success_only,Average Query Number,all,All,waste,Waste,195,16.056410,12.000000,34.000000,3.793904,16.056410
policy_compare_total_average_question_success_only,average_question_success_only,Average Query Number,all,All,tomato,Tomato,163,48.564417,21.000000,137.000000,21.934256,48.564417
policy_compare_total_average_question_success_only,average_question_success_only,Average Query Number,no,No,waste,Waste,27,0.000000,0.000000,0.000000,0.000000,0.000000
policy_compare_total_average_question_success_only,average_question_success_only,Average Query Number,no,No,tomato,Tomato,3,0.000000,0.000000,0.000000,0.000000,0.000000
policy_compare_total_average_question_success_only,average_question_success_only,Average Query Number,random,Random,waste,Waste,180,8.183333,1.000000,16.000000,2.475523,8.183333
