figure,metric,metric_label,condition,condition_label,domain,domain_label,n,mean,min,max,std,plotted_value
policy_compare_total_prediction_set_size_when_asked_failure_only,prediction_set_size_when_asked_failure_only,Prediction Set Size When Asked,all,All,waste,Waste,0,,,,,
policy_compare_total_prediction_set_size_when_asked_failure_only,prediction_set_size_when_asked_failure_only,Prediction Set Size When Asked,all,All,tomato,Tomato,0,,,,,
policy_compare_total_prediction_set_size_when_asked_failure_only,prediction_set_size_when_asked_failure_only,Prediction Set Size When Asked,no,No,waste,Waste,0,,,,,
policy_compare_total_prediction_set_size_when_asked_failure_only,prediction_set_size_when_asked_failure_only,Prediction Set Size When Asked,no,No,tomato,Tomato,0,,,,,
policy_compare_total_prediction_set_size_when_asked_failure_only,prediction_set_size_when_asked_failure_only,Prediction Set Size When Asked,random,Random,waste,Waste,0,,,,,
policy_compare_total_prediction_set_size_when_asked_failure_only,prediction_set_size_when_asked_failure_only,Prediction Set Size When Asked,random,Random,tomato,Tomato,0,,,,,
policy_compare_total_prediction_set_size_when_asked_failure_only,prediction_set_size_when_asked_failure_only,Prediction Set Size When Asked,knowno_gpt4,KnowNo,waste,Waste,212,2.150943,2.000000,3.000000,0.263676,2.150943
policy_compare_total_prediction_set_size_when_asked_failure_only,prediction_set_size_when_asked_failure_only,Prediction Set Size When Asked,knowno_gpt4,KnowNo,tomato,Tomato,185,2.578378,2.000000,4.000000,0.447599,2.578378
policy_compare_total_prediction_set_size_when_asked_failure_only,prediction_set_size_when_asked_failure_only,Prediction Set Size When Asked,ours,Ours,waste,Waste,0,,,,,
policy_compare_total_prediction_set_size_when_asked_failure_only,prediction_set_size_when_asked_failure_only,Prediction Set Size When Asked,ours,Ours,tomato,Tomato,0,,,,,
