run,logs/wastesorting/scene_01_step50/thres_0-2,logs/wastesorting/scene_02_step50/thres_0-2,logs/wastesorting/scene_03_step50/thres_0-2,logs/wastesorting/scene_04_step50/thres_0-2,logs/wastesorting/scene_05_step50/thres_0-2
1,5.0,5.0,25.0,10.0,5.0
2,5.0,10.0,10.0,20.0,10.0
3,10.0,15.0,15.0,15.0,15.0
4,25.0,0.0,5.0,25.0,20.0
5,5.0,15.0,5.0,0.0,15.0
6,5.0,5.0,20.0,0.0,20.0
7,15.0,5.0,25.0,10.0,25.0
8,10.0,25.0,25.0,5.0,15.0
9,10.0,20.0,5.0,10.0,5.0
10,10.0,15.0,0.0,10.0,5.0
11,5.0,15.0,10.0,15.0,30.0
12,10.0,15.0,5.0,10.0,25.0
13,5.0,10.0,15.0,10.0,0.0
14,20.0,10.0,15.0,20.0,0.0
15,20.0,15.0,0.0,30.0,20.0
16,25.0,10.0,15.0,30.0,20.0
17,10.0,5.0,0.0,15.0,5.0
18,0.0,10.0,20.0,10.0,5.0
19,10.0,25.0,15.0,0.0,10.0
20,15.0,5.0,20.0,10.0,15.0
21,25.0,5.0,10.0,10.0,20.0
22,0.0,10.0,20.0,0.0,20.0
23,5.0,25.0,15.0,25.0,10.0
24,25.0,10.0,15.0,5.0,20.0
25,20.0,5.0,15.0,5.0,5.0
26,5.0,5.0,25.0,5.0,5.0
27,5.0,10.0,30.0,5.0,10.0
28,5.0,10.0,5.0,0.0,5.0
29,0.0,5.0,15.0,10.0,15.0
30,10.0,25.0,10.0,5.0,10.0
31,15.0,5.0,5.0,10.0,20.0
32,10.0,0.0,5.0,25.0,5.0
33,15.0,5.0,0.0,15.0,10.0
34,0.0,0.0,15.0,20.0,20.0
35,15.0,20.0,5.0,5.0,0.0
36,20.0,20.0,0.0,30.0,20.0
37,5.0,0.0,20.0,20.0,0.0
38,20.0,10.0,10.0,5.0,5.0
39,10.0,10.0,5.0,10.0,5.0
40,5.0,15.0,5.0,20.0,25.0
95% confidence interval,8.5504~13.1996,8.5155~12.9845,9.4503~14.5497,9.4095~14.8405,9.8207~14.9293
average reward,10.8750,10.7500,12.0000,12.1250,12.3750
