run,logs/wastesorting/scene_01_step50/thres_0-2,logs/wastesorting/scene_02_step50/thres_0-2,logs/wastesorting/scene_03_step50/thres_0-2,logs/wastesorting/scene_04_step50/thres_0-2,logs/wastesorting/scene_05_step50/thres_0-2
1,0,1,0,1,1
2,1,0,0,0,1
3,6,3,4,1,0
4,4,0,0,4,1
5,0,0,0,0,0
6,1,0,0,0,0
7,0,0,2,0,0
8,0,1,4,1,0
9,0,1,0,0,5
10,0,1,0,1,0
11,1,0,0,0,0
12,0,3,0,0,0
13,0,0,0,0,0
14,4,0,0,0,0
15,0,0,0,0,0
16,4,0,0,0,0
17,0,0,5,0,5
18,0,1,3,1,0
19,1,0,4,1,1
20,0,0,0,1,0
21,0,1,0,1,0
22,1,0,0,4,0
23,1,4,0,4,0
24,0,0,5,1,0
25,0,1,0,0,1
26,0,0,0,0,1
27,0,1,0,0,0
28,0,1,0,0,0
29,1,1,2,0,1
30,2,4,0,1,0
31,4,1,0,5,4
32,2,1,2,0,1
33,5,0,4,0,1
34,0,0,0,0,0
35,0,0,1,1,0
36,0,0,0,2,0
37,0,1,2,0,0
38,5,0,0,0,0
39,1,1,0,2,1
40,0,0,0,0,0
95% confidence interval,0.5619~1.6381,0.3693~1.0307,0.4442~1.4558,0.3956~1.2044,0.2105~0.9895
average question,1.1000,0.7000,0.9500,0.8000,0.6000
