domain,scene,seed,reference,comparison,reference_source,comparison_source,reference_success,comparison_success,questions_delta,steps_delta,seconds_delta,reward_delta
wastesorting,01,3862245153,ours,cp_when,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/wastesorting/scene_01/ours/run_40_seed_3862245153/exp_wastesorting_20260921_014325_143440.txt,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/wastesorting/scene_01/cp_when/run_40_seed_3862245153/exp_wastesorting_20260922_005718_651064.txt,1,1,-2.0,1.0,-27.4053,-15.0
wastesorting,01,3890046989,ours,cp_when,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/wastesorting/scene_01/ours/run_15_seed_3890046989/exp_wastesorting_20260921_014245_880375.txt,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/wastesorting/scene_01/cp_when/run_15_seed_3890046989/exp_wastesorting_20260922_004701_821007.txt,1,1,1.0,3.0,-27.0116,-15.0
wastesorting,01,3904873952,ours,cp_when,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/wastesorting/scene_01/ours/run_13_seed_3904873952/exp_wastesorting_20260921_014242_512411.txt,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/wastesorting/scene_01/cp_when/run_13_seed_3904873952/exp_wastesorting_20260922_004603_464265.txt,1,1,-3.0,0.0,-31.034299999999998,15.0
wastesorting,01,3940097250,ours,cp_when,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/wastesorting/scene_01/ours/run_27_seed_3940097250/exp_wastesorting_20260921_014304_618251.txt,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/wastesorting/scene_01/cp_when/run_27_seed_3940097250/exp_wastesorting_20260922_005123_432001.txt,1,1,-2.0,0.0,-25.2552,0.0
wastesorting,01,3987872288,ours,cp_when,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/wastesorting/scene_01/ours/run_09_seed_3987872288/exp_wastesorting_20260921_014236_006707.txt,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/wastesorting/scene_01/cp_when/run_09_seed_3987872288/exp_wastesorting_20260922_004346_244544.txt,1,1,-5.0,0.0,-41.6293,-15.0
wastesorting,01,4001804605,ours,cp_when,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/wastesorting/scene_01/ours/run_37_seed_4001804605/exp_wastesorting_20260921_014320_399285.txt,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/wastesorting/scene_01/cp_when/run_37_seed_4001804605/exp_wastesorting_20260922_005548_049862.txt,1,0,6.0,0.0,-23.3277,0.0
wastesorting,01,4016452800,ours,cp_when,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/wastesorting/scene_01/ours/run_16_seed_4016452800/exp_wastesorting_20260921_014247_458172.txt,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/wastesorting/scene_01/cp_when/run_16_seed_4016452800/exp_wastesorting_20260922_004732_985868.txt,1,1,6.0,-1.0,-29.5151,0.0
wastesorting,01,4064545001,ours,cp_when,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/wastesorting/scene_01/ours/run_01_seed_4064545001/exp_wastesorting_20260921_014223_186349.txt,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/wastesorting/scene_01/cp_when/run_01_seed_4064545001/exp_wastesorting_20260922_003932_498532.txt,1,1,-1.0,0.0,-26.724600000000002,0.0
wastesorting,01,4139245423,ours,cp_when,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/wastesorting/scene_01/ours/run_05_seed_4139245423/exp_wastesorting_20260921_014229_661755.txt,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/wastesorting/scene_01/cp_when/run_05_seed_4139245423/exp_wastesorting_20260922_004113_920994.txt,1,1,-1.0,1.0,-33.3515,0.0
wastesorting,01,481330159,ours,cp_when,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/wastesorting/scene_01/ours/run_33_seed_481330159/exp_wastesorting_20260921_014314_206755.txt,experiments_logs/analysis_recent/when_what_policy_ablation_20260921/00_raw/wastesorting/scene_01/cp_when/run_33_seed_481330159/exp_wastesorting_20260922_005407_097730.txt,1,1,-1.0,0.0,-24.5642,0.0
