run,logs/wastesorting/scene_01_step50/thres_0-7,logs/wastesorting/scene_02_step50/thres_0-7,logs/wastesorting/scene_03_step50/thres_0-7,logs/wastesorting/scene_04_step50/thres_0-7,logs/wastesorting/scene_05_step50/thres_0-7
1,5.0,20.0,5.0,15.0,20.0
2,25.0,25.0,25.0,15.0,15.0
3,25.0,30.0,0.0,30.0,30.0
4,25.0,25.0,0.0,20.0,25.0
5,15.0,10.0,15.0,20.0,15.0
6,25.0,10.0,10.0,25.0,15.0
7,0.0,25.0,15.0,15.0,15.0
8,25.0,5.0,20.0,15.0,15.0
9,20.0,10.0,15.0,25.0,10.0
10,15.0,25.0,15.0,25.0,10.0
11,20.0,10.0,5.0,10.0,5.0
12,20.0,25.0,10.0,25.0,20.0
13,5.0,20.0,25.0,10.0,10.0
14,25.0,20.0,25.0,15.0,20.0
15,10.0,25.0,0.0,25.0,25.0
16,20.0,15.0,20.0,25.0,20.0
17,15.0,20.0,20.0,25.0,20.0
18,25.0,25.0,5.0,20.0,25.0
19,20.0,25.0,25.0,15.0,20.0
20,20.0,20.0,15.0,25.0,15.0
21,25.0,15.0,5.0,10.0,20.0
22,5.0,5.0,5.0,20.0,25.0
23,5.0,25.0,25.0,25.0,20.0
24,15.0,20.0,25.0,20.0,10.0
25,10.0,10.0,15.0,25.0,30.0
26,25.0,5.0,20.0,20.0,10.0
27,15.0,25.0,20.0,25.0,5.0
28,10.0,25.0,10.0,15.0,0.0
29,5.0,20.0,20.0,15.0,15.0
30,15.0,10.0,25.0,25.0,25.0
31,20.0,20.0,15.0,25.0,25.0
32,0.0,15.0,30.0,20.0,15.0
33,15.0,30.0,5.0,25.0,15.0
34,30.0,15.0,15.0,15.0,25.0
35,20.0,25.0,10.0,20.0,15.0
36,25.0,20.0,15.0,25.0,20.0
37,25.0,10.0,25.0,15.0,15.0
38,20.0,20.0,25.0,15.0,15.0
39,0.0,25.0,0.0,25.0,20.0
40,25.0,20.0,20.0,15.0,5.0
95% confidence interval,14.1347~19.3653,16.5657~20.9343,12.3277~17.6723,18.3542~21.6458,14.8426~19.1574
average reward,16.7500,18.7500,15.0000,20.0000,17.0000
