run,logs/wastesorting/scene_01_step50/thres_0-7,logs/wastesorting/scene_02_step50/thres_0-7,logs/wastesorting/scene_03_step50/thres_0-7,logs/wastesorting/scene_04_step50/thres_0-7,logs/wastesorting/scene_05_step50/thres_0-7
1,5,5,3,2,7
2,4,2,6,2,0
3,5,3,3,4,0
4,4,4,1,4,0
5,5,3,7,5,4
6,7,4,7,4,6
7,1,2,7,0,0
8,2,2,2,6,1
9,4,0,7,1,7
10,14,2,2,0,7
11,4,2,5,2,7
12,9,0,2,6,5
13,4,5,6,3,5
14,4,0,6,4,0
15,6,0,2,4,4
16,6,0,4,0,3
17,0,2,2,2,10
18,0,0,2,6,5
19,2,8,0,1,4
20,6,2,2,0,1
21,4,0,5,5,2
22,0,8,8,3,2
23,3,7,4,9,0
24,7,0,2,1,3
25,1,1,4,0,4
26,3,6,3,0,3
27,2,9,1,0,0
28,2,4,2,0,2
29,4,5,0,2,2
30,3,3,0,4,6
31,0,4,1,2,7
32,4,0,4,3,1
33,4,10,3,2,3
34,0,6,3,6,1
35,0,0,8,4,4
36,2,0,2,3,3
37,2,6,2,0,9
38,2,2,2,2,7
39,0,1,2,3,0
40,2,2,3,6,3
95% confidence interval,2.5516~4.2984,2.1263~3.8737,2.6743~4.0757,2.0821~3.4679,2.5906~4.3094
average question,3.4250,3.0000,3.3750,2.7750,3.4500
