run,logs/wastesorting/scene_01_step50/thres_0-7,logs/wastesorting/scene_02_step50/thres_0-7,logs/wastesorting/scene_03_step50/thres_0-7,logs/wastesorting/scene_04_step50/thres_0-7,logs/wastesorting/scene_05_step50/thres_0-7
1,10,12,13,10,11
2,9,11,10,12,11
3,11,10,9,11,14
4,9,14,11,9,10
5,12,12,19,15,12
6,11,9,10,9,17
7,5,10,10,10,10
8,11,7,10,11,9
9,9,7,10,10,16
10,14,9,9,9,13
11,9,9,9,7,11
12,12,10,10,11,12
13,5,14,10,9,9
14,9,9,11,9,10
15,10,10,3,12,11
16,10,9,13,9,9
17,9,10,9,10,14
18,10,10,6,13,10
19,11,14,11,9,10
20,15,9,10,10,11
21,11,10,8,12,12
22,7,10,12,12,9
23,9,17,17,13,9
24,18,10,11,11,11
25,9,12,9,10,12
26,11,10,10,9,13
27,9,10,12,11,5
28,10,9,9,11,12
29,11,12,10,12,12
30,11,9,11,12,18
31,9,12,12,13,12
32,3,10,10,13,12
33,12,14,10,9,13
34,11,10,11,11,10
35,9,10,11,10,10
36,10,9,9,10,12
37,10,8,10,11,16
38,9,13,15,9,17
39,3,9,3,10,12
40,10,9,11,14,9
95% confidence interval,8.9744~10.6756,9.8070~11.0930,9.4719~11.2281,10.1833~11.2167,10.8481~12.4519
average step,9.8250,10.4500,10.3500,10.7000,11.6500
