run,logs/tomato/scene_01_step50/thres_0-4,logs/tomato/scene_02_step50/thres_0-4,logs/tomato/scene_03_step50/thres_0-4,logs/tomato/scene_04_step50/thres_0-4,logs/tomato/scene_05_step50/thres_0-4
1,3,3,3,7,15
2,4,4,4,3,2
3,3,4,4,9,4
4,4,2,3,4,4
5,3,3,4,8,3
6,5,4,4,5,8
7,3,3,6,3,2
8,3,4,3,3,5
9,2,7,4,3,3
10,3,5,4,11,4
11,1,4,4,3,1
12,7,3,8,3,4
13,3,2,11,4,6
14,4,3,2,3,2
15,9,3,7,3,2
16,3,2,5,3,4
17,4,4,6,5,3
18,12,5,4,3,4
19,2,4,3,8,1
20,3,2,3,4,3
21,6,4,4,4,4
22,3,4,4,4,9
23,3,4,4,1,7
24,4,0,2,6,3
25,4,3,3,4,2
26,4,2,6,4,11
27,10,2,14,3,9
28,3,6,4,5,4
29,3,3,4,5,2
30,4,7,4,10,2
31,11,5,4,4,4
32,1,4,4,3,2
33,8,19,7,3,5
34,4,3,4,3,4
35,5,12,12,2,0
36,3,6,4,3,4
37,2,8,4,3,4
38,3,3,3,4,8
39,7,2,3,4,3
40,1,5,4,9,10
95% confidence interval,3.4414~5.0586,3.3516~5.2984,3.9599~5.5401,3.7663~5.1837,3.4733~5.3767
average question,4.2500,4.3250,4.7500,4.4750,4.4250
