run,logs/tomato/scene_01_step50/thres_0-4,logs/tomato/scene_02_step50/thres_0-4,logs/tomato/scene_03_step50/thres_0-4,logs/tomato/scene_04_step50/thres_0-4,logs/tomato/scene_05_step50/thres_0-4
1,5.0,5.0,10.0,10.0,0.0
2,5.0,10.0,10.0,0.0,0.0
3,10.0,5.0,10.0,5.0,0.0
4,5.0,0.0,10.0,15.0,5.0
5,5.0,0.0,5.0,15.0,10.0
6,10.0,10.0,10.0,5.0,5.0
7,0.0,10.0,5.0,5.0,0.0
8,0.0,5.0,10.0,0.0,0.0
9,5.0,5.0,5.0,5.0,15.0
10,0.0,5.0,0.0,5.0,0.0
11,5.0,15.0,5.0,5.0,0.0
12,0.0,10.0,5.0,10.0,10.0
13,5.0,0.0,10.0,10.0,5.0
14,5.0,5.0,0.0,0.0,5.0
15,0.0,0.0,15.0,0.0,0.0
16,0.0,0.0,5.0,10.0,0.0
17,10.0,5.0,10.0,0.0,0.0
18,5.0,10.0,10.0,5.0,5.0
19,5.0,5.0,0.0,0.0,0.0
20,5.0,5.0,0.0,5.0,0.0
21,10.0,0.0,5.0,0.0,5.0
22,5.0,5.0,5.0,10.0,0.0
23,5.0,10.0,5.0,5.0,0.0
24,5.0,0.0,0.0,5.0,0.0
25,5.0,10.0,5.0,10.0,5.0
26,10.0,5.0,10.0,10.0,10.0
27,5.0,5.0,0.0,0.0,5.0
28,0.0,5.0,5.0,15.0,5.0
29,0.0,5.0,5.0,10.0,5.0
30,5.0,5.0,0.0,0.0,0.0
31,5.0,10.0,10.0,5.0,5.0
32,0.0,10.0,5.0,5.0,0.0
33,5.0,5.0,0.0,5.0,0.0
34,5.0,5.0,0.0,5.0,5.0
35,5.0,15.0,10.0,10.0,0.0
36,0.0,0.0,5.0,10.0,10.0
37,10.0,0.0,5.0,0.0,5.0
38,5.0,5.0,0.0,5.0,5.0
39,5.0,0.0,10.0,0.0,5.0
40,0.0,5.0,10.0,0.0,5.0
95% confidence interval,3.3710~5.3790,4.0911~6.6589,4.4583~7.0417,4.0618~6.9382,2.1909~4.5591
average reward,4.3750,5.3750,5.7500,5.5000,3.3750
