domain,policy,scene,run_index,success,planning_length,question_count,query_probability,elapsed_seconds,reward,source_file
tomato,all,scene_02,10,True,30.0,52.0,1.7333333333333334,28.454,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,11,True,30.0,52.0,1.7333333333333334,28.0414,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,12,True,30.0,52.0,1.7333333333333334,27.391,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,13,True,30.0,52.0,1.7333333333333334,27.8296,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,14,True,30.0,52.0,1.7333333333333334,27.7239,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,15,True,30.0,52.0,1.7333333333333334,27.6175,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,16,True,30.0,52.0,1.7333333333333334,26.9017,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,17,True,30.0,52.0,1.7333333333333334,27.1828,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,18,True,30.0,52.0,1.7333333333333334,26.7471,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,19,True,30.0,52.0,1.7333333333333334,26.5004,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,20,True,30.0,52.0,1.7333333333333334,26.5557,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,21,True,30.0,52.0,1.7333333333333334,26.5714,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,22,True,30.0,52.0,1.7333333333333334,26.4849,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,23,True,30.0,52.0,1.7333333333333334,27.049,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,24,True,30.0,52.0,1.7333333333333334,27.6401,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,25,True,30.0,52.0,1.7333333333333334,26.8212,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,26,True,30.0,52.0,1.7333333333333334,27.4626,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,27,True,30.0,52.0,1.7333333333333334,27.5137,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,28,True,30.0,52.0,1.7333333333333334,26.6061,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,29,True,30.0,52.0,1.7333333333333334,26.5829,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,30,True,30.0,52.0,1.7333333333333334,27.395,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,31,True,30.0,52.0,1.7333333333333334,27.3904,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,32,True,30.0,52.0,1.7333333333333334,26.7885,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,33,True,30.0,52.0,1.7333333333333334,26.9915,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,34,True,30.0,52.0,1.7333333333333334,27.2267,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,35,True,30.0,52.0,1.7333333333333334,27.5527,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,36,True,30.0,52.0,1.7333333333333334,26.8493,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,37,True,30.0,52.0,1.7333333333333334,27.6904,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,38,True,30.0,52.0,1.7333333333333334,27.7258,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,39,True,30.0,52.0,1.7333333333333334,27.3895,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_02,40,True,30.0,52.0,1.7333333333333334,26.7889,10.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,1,True,21.0,34.0,1.619047619047619,18.6871,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,2,True,21.0,34.0,1.619047619047619,17.7728,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,3,True,21.0,34.0,1.619047619047619,18.4704,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,4,True,21.0,34.0,1.619047619047619,18.2799,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,5,True,21.0,34.0,1.619047619047619,18.7317,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,6,True,21.0,34.0,1.619047619047619,18.4139,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,7,True,21.0,34.0,1.619047619047619,18.7506,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,8,True,21.0,34.0,1.619047619047619,18.1162,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,9,True,21.0,34.0,1.619047619047619,17.7442,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,10,True,21.0,34.0,1.619047619047619,18.1091,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,11,True,21.0,34.0,1.619047619047619,18.0311,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,12,True,21.0,34.0,1.619047619047619,18.1165,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,13,True,21.0,34.0,1.619047619047619,18.0868,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,14,True,21.0,34.0,1.619047619047619,18.0714,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,15,True,21.0,34.0,1.619047619047619,17.8574,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,16,True,21.0,34.0,1.619047619047619,18.5844,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,17,True,21.0,34.0,1.619047619047619,17.9167,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,18,True,21.0,34.0,1.619047619047619,18.6958,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,19,True,21.0,34.0,1.619047619047619,18.0964,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,20,True,21.0,34.0,1.619047619047619,17.9117,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,21,True,21.0,34.0,1.619047619047619,18.5127,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,22,True,21.0,34.0,1.619047619047619,18.4489,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,23,True,21.0,34.0,1.619047619047619,18.6961,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,24,True,21.0,34.0,1.619047619047619,18.5727,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,25,True,21.0,34.0,1.619047619047619,18.9326,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,26,True,21.0,34.0,1.619047619047619,18.6388,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,27,True,21.0,34.0,1.619047619047619,18.3789,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,28,True,21.0,34.0,1.619047619047619,18.2337,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,29,True,21.0,34.0,1.619047619047619,18.0628,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,30,True,21.0,34.0,1.619047619047619,17.8165,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,31,True,21.0,34.0,1.619047619047619,18.5326,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,32,True,21.0,34.0,1.619047619047619,18.0498,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,33,True,21.0,34.0,1.619047619047619,17.7642,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,34,True,21.0,34.0,1.619047619047619,17.5623,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,35,True,21.0,34.0,1.619047619047619,18.315,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,36,True,21.0,34.0,1.619047619047619,18.4963,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,37,True,21.0,34.0,1.619047619047619,18.5539,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,38,True,21.0,34.0,1.619047619047619,18.4239,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,39,True,21.0,34.0,1.619047619047619,18.5293,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_03,40,True,21.0,34.0,1.619047619047619,18.4308,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,1,True,20.0,30.0,1.5,16.7071,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,2,True,20.0,30.0,1.5,17.0755,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,3,True,20.0,30.0,1.5,16.4964,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,4,True,20.0,30.0,1.5,17.2058,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,5,True,20.0,30.0,1.5,16.5138,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,6,True,20.0,30.0,1.5,17.3327,5.0,logs/tomato/scene_metrics/step_50_thres_all
tomato,all,scene_04,7,True,20.0,30.0,1.5,16.7137,5.0,logs/tomato/scene_metrics/step_50_thres_all
