run,logs/tomato/scene_01_step50/thres_0-3,logs/tomato/scene_02_step50/thres_0-3,logs/tomato/scene_03_step50/thres_0-3,logs/tomato/scene_04_step50/thres_0-3,logs/tomato/scene_05_step50/thres_0-3
1,10.0,10.0,5.0,10.0,15.0
2,5.0,15.0,0.0,5.0,15.0
3,5.0,0.0,5.0,10.0,10.0
4,10.0,10.0,5.0,5.0,0.0
5,0.0,0.0,0.0,5.0,15.0
6,10.0,5.0,10.0,5.0,0.0
7,10.0,10.0,5.0,5.0,0.0
8,5.0,10.0,0.0,0.0,0.0
9,5.0,5.0,5.0,5.0,0.0
10,10.0,0.0,5.0,0.0,0.0
11,10.0,5.0,5.0,10.0,10.0
12,0.0,0.0,10.0,5.0,0.0
13,0.0,5.0,5.0,0.0,5.0
14,0.0,0.0,15.0,10.0,10.0
15,10.0,0.0,15.0,10.0,0.0
16,5.0,15.0,10.0,0.0,5.0
17,5.0,0.0,5.0,0.0,5.0
18,10.0,0.0,0.0,5.0,5.0
19,0.0,10.0,5.0,5.0,0.0
20,5.0,15.0,5.0,0.0,5.0
21,15.0,15.0,15.0,10.0,5.0
22,15.0,5.0,10.0,0.0,5.0
23,15.0,10.0,5.0,5.0,10.0
24,0.0,5.0,10.0,0.0,5.0
25,10.0,10.0,5.0,5.0,0.0
26,0.0,0.0,0.0,0.0,10.0
27,0.0,5.0,10.0,5.0,5.0
28,5.0,0.0,0.0,15.0,15.0
29,10.0,0.0,5.0,5.0,0.0
30,5.0,5.0,0.0,10.0,5.0
31,5.0,0.0,5.0,10.0,10.0
32,5.0,0.0,10.0,5.0,0.0
33,0.0,15.0,0.0,0.0,5.0
34,15.0,0.0,10.0,15.0,5.0
35,0.0,10.0,15.0,5.0,10.0
36,10.0,0.0,0.0,0.0,5.0
37,15.0,10.0,15.0,5.0,10.0
38,5.0,15.0,10.0,0.0,5.0
39,0.0,15.0,5.0,5.0,5.0
40,5.0,5.0,10.0,15.0,15.0
95% confidence interval,4.6906~7.8094,4.2385~7.7615,4.8868~7.8632,3.8486~6.6514,4.1985~7.3015
average reward,6.2500,6.0000,6.3750,5.2500,5.7500
