run,logs/tomato/scene_01_step50/thres_0-3,logs/tomato/scene_02_step50/thres_0-3,logs/tomato/scene_03_step50/thres_0-3,logs/tomato/scene_04_step50/thres_0-3,logs/tomato/scene_05_step50/thres_0-3
1,11.207,46.7789,48.5505,12.2845,48.6168
2,48.5608,46.5035,48.3305,48.6556,46.9648
3,9.1448,9.9399,47.4317,46.5399,46.9003
4,46.8109,12.1017,47.6008,5.6498,47.9297
5,47.5718,48.3022,6.528,8.6971,48.1022
6,48.137,47.5198,48.6887,49.6255,46.9755
7,47.8403,49.0931,47.28,9.5558,48.8627
8,10.2474,47.1668,5.3748,49.3095,47.386
9,48.3799,47.389,47.6446,48.2517,48.1624
10,46.9719,15.8038,11.5043,47.983,3.2847
11,48.2003,47.6329,47.6617,47.6112,9.5337
12,48.5385,46.4457,9.8235,47.2919,48.5399
13,45.8541,9.7462,47.7479,48.6203,48.501
14,9.751,47.7021,47.7285,9.5036,47.3484
15,46.9836,46.4194,47.1476,45.8902,47.1263
16,47.4509,11.8067,48.9321,47.0176,46.7075
17,49.0978,48.0886,48.9469,48.3515,9.8538
18,46.721,6.0039,48.636,49.2672,46.5508
19,47.8242,46.8792,46.9695,49.0008,48.2702
20,48.3513,47.0537,46.585,48.3998,46.7124
21,46.9225,12.538,47.5716,46.4212,48.2655
22,15.1659,47.5607,10.1238,3.8814,46.6134
23,13.3582,47.0659,46.245,48.8669,46.3695
24,47.5023,47.4683,47.081,47.4751,47.0664
25,45.576,46.5772,10.8285,46.5967,3.1319
26,10.7067,47.9898,49.1709,3.3388,46.0
27,4.0212,47.359,14.4583,46.9632,47.1583
28,47.4607,47.8181,46.8987,47.7695,47.1731
29,9.6452,49.2983,47.8569,47.6841,49.3896
30,46.7407,48.3655,48.4739,48.6244,49.5302
31,48.1959,49.0836,46.7567,46.9014,48.0205
32,46.3358,46.5304,46.5402,47.4816,7.0937
33,48.0435,9.5743,11.5317,49.0346,47.3806
34,46.7918,47.5833,46.6454,46.4988,49.0773
35,47.0152,10.1638,48.2204,48.0318,48.7013
36,9.7122,46.8735,10.8524,10.6362,10.7623
37,11.7887,9.2655,47.0647,46.9125,9.5752
38,9.352,47.3397,10.145,47.8232,46.2602
39,46.4661,48.3994,9.8263,46.0062,47.1485
40,48.1277,47.9468,47.0541,48.2566,49.1044
95% confidence interval,30.9550~41.6737,33.3028~43.3561,32.0316~42.5913,34.7897~44.8459,35.8529~45.4546
average elapsed time,36.3143,38.3295,37.3115,39.8178,40.6538
