run,logs/tomato/scene_01_step50/thres_0-3,logs/tomato/scene_02_step50/thres_0-3,logs/tomato/scene_03_step50/thres_0-3,logs/tomato/scene_04_step50/thres_0-3,logs/tomato/scene_05_step50/thres_0-3
1,3,4,3,3,4
2,5,5,2,2,4
3,2,3,2,4,4
4,4,3,4,1,4
5,2,3,3,2,4
6,5,4,2,2,4
7,5,4,4,3,3
8,3,6,0,1,5
9,4,6,3,3,7
10,3,3,3,4,0
11,3,5,4,2,3
12,2,2,4,2,1
13,4,3,4,4,4
14,3,2,4,3,5
15,2,1,5,4,4
16,1,3,3,4,4
17,3,4,7,3,4
18,4,1,1,2,4
19,4,3,2,2,4
20,2,4,4,4,4
21,4,4,4,4,5
22,3,3,3,1,2
23,3,6,3,3,5
24,1,2,5,5,4
25,4,3,3,3,2
26,3,3,1,0,10
27,0,4,3,2,5
28,5,2,4,3,4
29,3,2,1,5,4
30,6,3,4,5,2
31,5,0,4,4,4
32,2,4,5,4,1
33,5,3,3,2,2
34,5,5,5,4,2
35,2,3,3,4,3
36,3,4,3,4,3
37,3,3,4,4,4
38,4,4,4,2,3
39,1,4,3,5,2
40,5,2,4,4,3
95% confidence interval,2.8482~3.7018,2.9135~3.7365,2.9195~3.7305,2.6881~3.4619,3.1317~4.1683
average question,3.2750,3.3250,3.3250,3.0750,3.6500
