run,logs/tomato/scene_01_step50/thres_0-3,logs/tomato/scene_02_step50/thres_0-3,logs/tomato/scene_03_step50/thres_0-3,logs/tomato/scene_04_step50/thres_0-3,logs/tomato/scene_05_step50/thres_0-3
1,13,50,50,14,50
2,50,50,50,50,50
3,11,11,50,50,50
4,50,14,50,7,50
5,50,50,8,10,50
6,50,50,50,50,50
7,50,50,50,11,50
8,12,50,7,50,50
9,50,50,50,50,50
10,50,19,13,50,4
11,50,50,50,50,11
12,50,50,11,50,50
13,50,11,50,50,50
14,11,50,50,11,50
15,50,50,50,50,50
16,50,14,50,50,50
17,50,50,50,50,11
18,50,7,50,50,50
19,50,50,50,50,50
20,50,50,50,50,50
21,50,15,50,50,50
22,17,50,11,5,50
23,16,50,50,50,50
24,50,50,50,50,50
25,50,50,13,50,4
26,12,50,50,4,50
27,5,50,17,50,50
28,50,50,50,50,50
29,11,50,50,50,50
30,50,50,50,50,50
31,50,50,50,50,50
32,50,50,50,50,9
33,50,11,14,50,50
34,50,50,50,50,50
35,50,12,50,50,50
36,11,50,13,13,13
37,14,11,50,50,11
38,11,50,12,50,50
39,50,50,11,50,50
40,50,50,50,50,50
95% confidence interval,33.1122~44.0878,35.5064~45.7436,34.1319~44.8681,36.7523~46.9977,37.9160~47.7340
average step,38.6000,40.6250,39.5000,41.8750,42.8250
