run,logs/tomato/scene_01_step50/thres_0-5,logs/tomato/scene_02_step50/thres_0-5,logs/tomato/scene_03_step50/thres_0-5,logs/tomato/scene_04_step50/thres_0-5,logs/tomato/scene_05_step50/thres_0-5
1,0,0,0,0,0
2,0,0,0,0,1
3,0,0,0,0,0
4,0,0,1,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,1,0,0
8,0,1,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,1,1
13,0,0,0,1,0
14,0,1,0,0,0
15,0,0,0,1,1
16,0,0,0,0,0
17,0,0,0,0,0
18,0,1,0,0,0
19,0,0,0,0,0
20,1,0,0,0,0
21,0,0,0,0,0
22,0,1,0,0,0
23,1,1,0,0,0
24,0,0,0,0,1
25,0,1,0,0,0
26,0,0,0,1,0
27,0,0,1,0,0
28,0,1,0,0,0
29,0,0,0,0,0
30,0,1,1,0,0
31,0,1,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,1,0,0,0
35,0,0,0,1,0
36,0,1,1,1,0
37,0,0,0,0,0
38,0,0,0,0,1
39,0,0,0,0,0
40,1,0,0,1,0
95% confidence interval,0.0000~0.1577,0.1349~0.4151,0.0212~0.2288,0.0557~0.2943,0.0212~0.2288
success rate,0.0750,0.2750,0.1250,0.1750,0.1250
