run,logs/tomato/scene_01_step50/thres_0-5,logs/tomato/scene_02_step50/thres_0-5,logs/tomato/scene_03_step50/thres_0-5,logs/tomato/scene_04_step50/thres_0-5,logs/tomato/scene_05_step50/thres_0-5
1,10.0,5.0,0.0,5.0,5.0
2,10.0,5.0,5.0,5.0,0.0
3,10.0,5.0,5.0,5.0,5.0
4,15.0,10.0,10.0,10.0,5.0
5,0.0,15.0,10.0,15.0,10.0
6,0.0,5.0,10.0,0.0,5.0
7,5.0,0.0,10.0,10.0,5.0
8,0.0,10.0,0.0,10.0,5.0
9,5.0,10.0,5.0,0.0,10.0
10,10.0,5.0,10.0,10.0,0.0
11,5.0,5.0,5.0,10.0,5.0
12,0.0,5.0,5.0,15.0,5.0
13,5.0,5.0,5.0,0.0,5.0
14,5.0,10.0,5.0,5.0,5.0
15,0.0,5.0,0.0,10.0,5.0
16,10.0,5.0,5.0,0.0,15.0
17,5.0,5.0,10.0,0.0,10.0
18,5.0,10.0,0.0,5.0,15.0
19,5.0,5.0,5.0,10.0,0.0
20,10.0,5.0,0.0,0.0,5.0
21,5.0,0.0,10.0,0.0,0.0
22,10.0,10.0,5.0,0.0,5.0
23,5.0,0.0,5.0,15.0,15.0
24,10.0,5.0,5.0,5.0,5.0
25,10.0,5.0,0.0,5.0,10.0
26,0.0,0.0,0.0,10.0,0.0
27,0.0,5.0,0.0,0.0,0.0
28,0.0,5.0,5.0,5.0,5.0
29,0.0,5.0,5.0,5.0,5.0
30,0.0,10.0,10.0,5.0,0.0
31,15.0,0.0,0.0,0.0,5.0
32,0.0,10.0,0.0,5.0,0.0
33,0.0,5.0,0.0,0.0,5.0
34,5.0,0.0,10.0,10.0,5.0
35,0.0,5.0,5.0,5.0,10.0
36,0.0,0.0,5.0,0.0,0.0
37,0.0,20.0,15.0,0.0,0.0
38,10.0,10.0,5.0,5.0,0.0
39,0.0,0.0,0.0,10.0,15.0
40,10.0,10.0,0.0,15.0,10.0
95% confidence interval,3.4076~6.3424,4.5211~7.2289,3.4873~6.0127,4.0880~7.1620,3.9545~6.7955
average reward,4.8750,5.8750,4.7500,5.6250,5.3750
