run,logs/tomato/scene_01_step50/thres_0-5,logs/tomato/scene_02_step50/thres_0-5,logs/tomato/scene_03_step50/thres_0-5,logs/tomato/scene_04_step50/thres_0-5,logs/tomato/scene_05_step50/thres_0-5
1,50,50,50,50,50
2,50,50,50,50,13
3,50,50,50,50,50
4,50,50,17,50,50
5,50,50,50,50,50
6,50,50,50,8,50
7,50,6,17,50,50
8,50,14,4,50,50
9,50,50,50,50,50
10,50,50,50,50,50
11,50,50,50,50,50
12,50,50,50,19,24
13,50,50,50,18,50
14,50,11,50,50,50
15,50,50,4,14,17
16,50,50,50,50,50
17,50,50,50,50,50
18,50,19,50,50,50
19,50,50,50,50,50
20,16,50,50,50,50
21,50,50,50,50,5
22,50,17,50,50,50
23,17,11,50,50,50
24,50,50,50,50,16
25,50,21,50,50,50
26,50,50,50,14,50
27,50,50,18,50,50
28,50,20,50,50,50
29,50,50,50,50,50
30,50,14,13,50,50
31,50,12,50,50,50
32,50,50,50,50,50
33,50,50,50,50,50
34,50,16,50,50,50
35,50,50,50,21,50
36,50,16,18,15,50
37,50,50,50,50,50
38,50,50,50,50,15
39,50,50,50,50,50
40,17,50,50,12,50
95% confidence interval,44.7442~50.2558,34.3053~44.5447,39.0451~48.0049,38.6129~47.4371,40.7684~48.7316
average step,47.5000,39.4250,43.5250,43.0250,44.7500
