run,logs/wastesorting/scene_01_step50/thres_0-8,logs/wastesorting/scene_02_step50/thres_0-8,logs/wastesorting/scene_03_step50/thres_0-8,logs/wastesorting/scene_04_step50/thres_0-8,logs/wastesorting/scene_05_step50/thres_0-8
1,9,7,14,4,8
2,7,5,7,6,7
3,4,11,4,14,9
4,5,6,13,6,5
5,5,5,9,10,4
6,7,8,14,5,7
7,8,9,11,6,9
8,4,5,5,22,8
9,11,9,9,9,14
10,5,7,8,6,6
11,20,13,9,8,11
12,11,15,8,5,7
13,7,5,6,10,13
14,7,8,9,5,7
15,6,7,6,6,7
16,5,8,6,7,6
17,7,9,7,7,5
18,6,5,8,6,4
19,9,9,6,7,6
20,9,12,8,8,5
21,8,9,6,12,5
22,11,5,8,5,4
23,8,7,15,4,7
24,12,20,4,8,5
25,8,11,5,5,5
26,4,8,7,6,13
27,13,4,5,11,7
28,13,11,10,8,8
29,6,9,6,11,6
30,8,5,4,4,6
31,12,8,12,6,13
32,4,5,5,8,12
33,20,12,15,12,9
34,11,15,9,7,4
35,4,7,5,13,6
36,8,11,15,6,7
37,8,7,5,7,6
38,8,16,6,6,11
39,11,10,8,7,4
40,8,9,6,4,7
95% confidence interval,7.2678~9.5822,7.7101~9.8899,7.0644~9.0856,6.6029~8.7471,6.4644~8.1856
average question,8.4250,8.8000,8.0750,7.6750,7.3250
