run,logs/wastesorting/scene_01_step50/thres_0-8,logs/wastesorting/scene_02_step50/thres_0-8,logs/wastesorting/scene_03_step50/thres_0-8,logs/wastesorting/scene_04_step50/thres_0-8,logs/wastesorting/scene_05_step50/thres_0-8
1,10.0,20.0,10.0,15.0,5.0
2,15.0,20.0,30.0,25.0,5.0
3,15.0,25.0,25.0,20.0,0.0
4,20.0,10.0,10.0,15.0,25.0
5,25.0,25.0,15.0,15.0,30.0
6,20.0,15.0,25.0,15.0,5.0
7,25.0,25.0,15.0,5.0,20.0
8,20.0,5.0,25.0,5.0,20.0
9,20.0,15.0,15.0,5.0,20.0
10,30.0,10.0,30.0,5.0,15.0
11,15.0,30.0,5.0,15.0,25.0
12,25.0,30.0,5.0,20.0,20.0
13,10.0,15.0,20.0,10.0,25.0
14,20.0,25.0,20.0,25.0,25.0
15,10.0,20.0,5.0,25.0,15.0
16,20.0,5.0,25.0,20.0,10.0
17,10.0,20.0,20.0,10.0,15.0
18,10.0,20.0,15.0,25.0,10.0
19,0.0,20.0,15.0,10.0,20.0
20,25.0,10.0,25.0,5.0,20.0
21,20.0,20.0,15.0,15.0,25.0
22,15.0,20.0,10.0,15.0,15.0
23,30.0,20.0,0.0,20.0,10.0
24,15.0,25.0,25.0,10.0,25.0
25,15.0,30.0,25.0,0.0,15.0
26,20.0,25.0,15.0,15.0,25.0
27,20.0,30.0,10.0,25.0,25.0
28,5.0,5.0,15.0,20.0,15.0
29,25.0,5.0,20.0,0.0,15.0
30,20.0,10.0,10.0,15.0,10.0
31,20.0,15.0,15.0,15.0,0.0
32,25.0,15.0,30.0,20.0,30.0
33,25.0,15.0,20.0,20.0,25.0
34,5.0,20.0,20.0,10.0,20.0
35,30.0,25.0,10.0,5.0,25.0
36,20.0,15.0,0.0,25.0,5.0
37,30.0,0.0,15.0,10.0,20.0
38,5.0,15.0,15.0,15.0,15.0
39,20.0,5.0,5.0,20.0,20.0
40,30.0,15.0,25.0,25.0,10.0
95% confidence interval,16.1149~20.8851,14.9190~19.8310,13.8694~18.8806,12.4773~17.0227,14.5238~19.4762
average reward,18.5000,17.3750,16.3750,14.7500,17.0000
