run,logs/wastesorting/scene_01_step50/thres_0-8,logs/wastesorting/scene_02_step50/thres_0-8,logs/wastesorting/scene_03_step50/thres_0-8,logs/wastesorting/scene_04_step50/thres_0-8,logs/wastesorting/scene_05_step50/thres_0-8
1,9.7843,8.4007,11.3122,8.135,8.9381
2,9.778,9.3532,9.1117,9.1091,5.2974
3,8.3742,12.9772,8.5213,11.6863,3.9283
4,8.5235,8.7743,10.389,8.8479,8.9292
5,8.0975,8.9905,9.9429,10.1977,8.1309
6,8.8427,9.7158,14.8476,9.1203,8.9291
7,10.3621,12.263,9.3234,9.3932,10.1853
8,8.3724,8.481,8.3147,13.6711,10.0922
9,12.2842,9.1287,11.1695,5.4075,10.0286
10,8.6563,9.2347,9.4311,7.9908,8.8791
11,14.2338,14.6707,8.9298,10.5386,11.8989
12,10.4659,13.7702,8.8787,8.4674,10.5128
13,9.1352,8.1177,9.0918,10.9156,14.1938
14,9.0116,9.0171,9.1922,8.4245,9.8491
15,8.4987,8.9529,4.5544,8.6498,9.4122
16,9.0214,5.0086,9.2596,9.6507,8.0573
17,9.8554,9.8694,9.052,8.7573,9.4368
18,9.3221,8.0657,9.0869,9.1777,8.1708
19,9.0886,9.3482,7.9506,8.0775,8.6792
20,9.3656,8.7721,9.4655,8.9075,8.1727
21,10.3495,10.7494,8.8062,10.2178,9.0186
22,9.8276,8.0863,9.3519,8.3194,8.0034
23,9.8493,9.075,11.4728,8.5004,9.4344
24,11.435,15.6214,7.8154,9.9841,8.1836
25,10.0828,10.5546,8.3497,4.625,8.9213
26,8.489,9.7944,9.8641,8.6332,11.902
27,11.1969,8.1609,8.9367,12.1852,9.2161
28,10.3326,11.7141,9.6446,10.7617,10.4185
29,8.3168,10.031,8.4499,3.758,8.9338
30,10.2875,8.6616,8.3105,8.4148,8.6554
31,12.314,10.7154,10.7399,8.2551,10.2895
32,7.9172,8.5284,8.4248,11.4289,11.4516
33,14.8649,12.2515,14.833,12.4367,10.0549
34,9.6079,16.7968,10.0738,9.095,8.356
35,8.1169,9.1763,9.163,10.0616,10.4124
36,8.9939,10.5332,13.401,8.4567,9.191
37,9.486,6.8905,8.3528,8.4303,9.1815
38,9.6471,13.1204,9.8828,8.587,10.2941
39,9.7391,9.1892,3.8954,8.7889,7.9401
40,11.3397,9.4417,8.9499,8.7363,8.9898
95% confidence interval,9.3540~10.3093,9.3211~10.7790,8.7904~10.0367,8.5398~9.7003,8.7468~9.7817
average elapsed time,9.8317,10.0501,9.4136,9.1200,9.2642
