run,logs/wastesorting/scene_01_step50/thres_0-8,logs/wastesorting/scene_02_step50/thres_0-8,logs/wastesorting/scene_03_step50/thres_0-8,logs/wastesorting/scene_04_step50/thres_0-8,logs/wastesorting/scene_05_step50/thres_0-8
1,11,10,13,9,10
2,11,10,10,10,6
3,9,14,9,13,4
4,9,10,12,10,10
5,9,10,11,11,9
6,10,11,17,10,10
7,11,13,11,10,12
8,9,9,9,15,11
9,14,11,12,6,12
10,10,10,11,9,10
11,17,17,10,12,14
12,12,16,10,9,12
13,10,9,10,12,16
14,10,10,10,9,11
15,9,10,5,9,10
16,10,6,10,10,9
17,11,11,10,10,10
18,10,9,10,10,9
19,10,10,9,9,10
20,10,10,11,10,9
21,12,12,10,11,10
22,11,9,10,9,9
23,11,10,13,9,10
24,13,18,9,11,9
25,11,12,9,5,10
26,9,11,11,10,14
27,13,9,10,14,10
28,12,13,10,12,12
29,9,11,9,4,10
30,12,9,9,9,10
31,14,12,12,9,11
32,9,9,9,13,13
33,17,14,17,14,11
34,11,19,11,10,9
35,9,10,10,11,11
36,10,12,16,10,10
37,11,8,9,9,10
38,11,15,11,9,11
39,11,10,4,10,9
40,13,11,10,9,10
95% confidence interval,10.4153~11.6347,10.4027~12.0973,9.7192~11.2308,9.3574~10.6926,9.7076~10.9424
average step,11.0250,11.2500,10.4750,10.0250,10.3250
